tax_id,city,zip,beds,baths,sqft,year_built,property_type,sale_date,sale_price,lat,lng,sale_day,sale_month,sale_year
6515256,Breckenridge,80424,3,2,1530,1981,Sfr,2017-11-07,715000,39.5060524,-106.0680804,7,11,2017
6515305,Frisco,80443,2,2,1009,2011,Condominium,2017-11-30,284625,39.57409060000001,-106.092071,30,11,2017
6515029,Frisco,80443,2,2,869,2010,Condominium,2017-02-10,580000,39.5742823,-106.0916952,10,2,2017
6515017,Frisco,80443,2,2,1026,2011,Sfr,2017-05-31,286397,39.570042,-106.0977099,31,5,2017
6515073,Frisco,80443,3,2,1344,2011,Sfr,2017-01-27,371385,39.5698402,-106.0968159,27,1,2017
6515012,Frisco,80443,2,2,1026,2011,Sfr,2017-01-27,241900,39.570331,-106.097054,27,1,2017
6515020,Breckenridge,80424,3,2,1498,2012,Sfr,2017-08-31,700000,39.4809156,-106.0215338,31,8,2017
6514654,Breckenridge,80424,4,4,3564,2011,Sfr,2017-11-17,910000,39.5203208,-106.0444321,17,11,2017
6514614,Frisco,80443,2,2,1368,2008,Condominium,2017-06-30,705000,39.5748675,-106.0932793,30,6,2017
6514611,Frisco,80443,3,3,1634,2008,Condominium,2017-04-03,875000,39.5747688,-106.0925494,3,4,2017
6514779,Silverthorne,80498,1,2,648,1972,Condominium,2017-03-01,255000,39.61864620000001,-106.0757209,1,3,2017
6514606,Frisco,80443,2,2,1097,2008,Condominium,2017-11-17,645000,39.5747688,-106.0925494,17,11,2017
6514587,Silverthorne,80498,4,4,2802,2009,Sfr,2017-04-12,970000,39.6578317,-106.0686333,12,4,2017
6515086,Frisco,80443,2,3,1447,1985,Condominium,2017-07-28,645000,39.57524779999999,-106.1102393,28,7,2017
6514636,Silverthorne,80498,2,2,1852,1999,Sfr,2017-07-17,522000,39.61691690000001,-106.094241,17,7,2017
6514913,Breckenridge,80424,2,2,1210,2011,Sfr,2017-03-21,355000,39.481690500000006,-106.0213846,21,3,2017
6514838,Breckenridge,80424,3,3,1966,2010,Townhouse,2017-07-31,302000,39.4989069,-106.048724,31,7,2017
6514839,Breckenridge,80424,3,3,1966,2010,Townhouse,2017-07-03,199920,39.4989369,-106.0488405,3,7,2017
6514068,Silverthorne,80498,3,4,2491,2008,Townhouse,2017-11-16,898000,39.654708,-106.074533,16,11,2017
6514263,Copper Mtn,80443,2,2,996,2007,Condominium,2017-04-18,569000,39.5003894,-106.1616255,18,4,2017
6514228,Silverthorne,80498,3,3,1501,2008,Condominium,2017-10-30,640000,39.61962279999999,-106.0982327,30,10,2017
6514384,Silverthorne,80498,4,3,2549,2007,Sfr,2017-02-09,652000,39.6181665,-106.0825851,9,2,2017
6514131,Silverthorne,80498,5,4,4346,1994,Sfr,2017-06-30,990000,39.776055,-106.1457421,30,6,2017
6514117,Breckenridge,80424,3,3,1404,1880,Sfr,2017-07-28,875000,39.4808133,-106.0440648,28,7,2017
6513616,Breckenridge,80424,2,1,1043,2007,Condominium,2017-06-21,255000,39.5328509,-106.03935990000002,21,6,2017
6513577,Breckenridge,80424,2,1,1043,2007,Condominium,2017-11-30,269204,39.5322299,-106.0397254,30,11,2017
6513575,Breckenridge,80424,2,1,1043,2007,Condominium,2017-07-24,266662,39.5320612,-106.0396503,24,7,2017
